age,annual_income,loan_amount,credit_history_years,existing_loans,credit_score,debt_to_income_ratio,employment_type,late_payments_last_year,defaulted
56,1087184.0,236118.0,16,0,703.0,0.026,Self-Employed,1,0
30,385631.0,358934.0,8,3,663.0,0.423,Business Owner,0,1
52,735681.0,20000.0,20,0,595.0,0.003,Salaried,0,0
49,975229.0,20000.0,4,1,746.0,0.043,Self-Employed,1,0
56,482268.0,54278.0,7,2,573.0,0.179,Self-Employed,0,0
42,329273.0,309702.0,14,0,569.0,0.113,Salaried,0,0
42,829003.0,405249.0,20,4,808.0,0.252,Salaried,3,0
39,614392.0,370827.0,6,0,712.0,0.072,Salaried,1,0
59,329987.0,280645.0,18,1,745.0,0.223,Salaried,0,0
44,362136.0,107419.0,1,3,784.0,0.367,Business Owner,0,1
25,514275.0,418998.0,4,2,577.0,0.253,Business Owner,0,0
43,812084.0,257223.0,22,0,789.0,0.038,Salaried,0,0
59,536847.0,296461.0,18,1,688.0,0.141,Business Owner,0,0
57,743994.0,288377.0,2,3,723.0,0.208,Self-Employed,0,0
37,963597.0,229154.0,11,4,744.0,0.195,Salaried,2,0
59,879274.0,190860.0,0,1,731.0,0.072,Salaried,0,0
25,916267.0,210739.0,5,1,649.0,0.071,Salaried,0,0
53,871019.0,105604.0,0,1,679.0,0.06,Business Owner,0,0
48,246124.0,336646.0,6,1,693.0,0.327,Salaried,0,0
21,869048.0,273320.0,2,1,764.0,0.084,Salaried,0,0
41,672279.0,452002.0,8,3,504.0,0.259,Self-Employed,2,1
37,572632.0,27596.0,23,4,793.0,0.285,Salaried,0,1
39,361377.0,475181.0,18,1,606.0,0.268,Salaried,3,1
32,250418.0,288582.0,17,0,854.0,0.138,Self-Employed,0,0
